State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Gross tax
no.","Gross tax
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$","Total work related car expenses
no.","Total work related car expenses
$","Work related travel expenses
no.","Work related travel expenses
$","Total work related uniform/clothing expenses
no.","Total work related uniform/clothing expenses
$","Total work related self education expenses
no.","Total work related self education expenses
$","Other work related expenses
no.","Other work related expenses
$","Low value pool deduction
no.","Low value pool deduction
$","Interest deductions
no.","Interest deductions
$","Dividend deductions
no.","Dividend deductions
$","Gifts or donations
no.","Gifts or donations
$","Cost of managing tax affairs
no.","Cost of managing tax affairs
$","Total deductions3
no.","Total deductions3
$","Total reportable fringe benefits amount
no.","Total reportable fringe benefits amount
$","Reportable employer superannuation contributions
no.","Reportable employer superannuation contributions
$","Net primary production distribution
no.","Net primary production distribution
$","Net non primary production distribution
no.","Net non primary production distribution
$","Share of franking credit from franked dividends
no.","Share of franking credit from franked dividends
$","Net PSI transferred
no.","Net PSI transferred
$","Deferred non-commercial business losses primary production deferred losses
no.","Deferred non-commercial business losses primary production deferred losses
$","Deferred non-commercial business losses non primary production deferred losses
no.","Deferred non-commercial business losses non primary production deferred losses
$","Capital gains net capital gain
no.","Capital gains net capital gain
$","Estimated tax on net capital gains
no.","Estimated tax on net capital gains
$","Capital gains total current year capital gains
no.","Capital gains total current year capital gains
$","Capital gains net capital losses carrier forward
no.","Capital gains net capital losses carrier forward
$","Foreign source income assessable foreign source income
no.","Foreign source income assessable foreign source income
$","Foreign source income other net foreign source income
no.","Foreign source income other net foreign source income
$","Foreign source income foreign income tax offset
no.","Foreign source income foreign income tax offset
$","Gross rent
no.","Gross rent
$","Rent interest deductions
no.","Rent interest deductions
$","Rent capital works deductions
no.","Rent capital works deductions
$","Rent other rental deductions
no.","Rent other rental deductions
$",Net rent - profit no.,Net rent - profit $,"Net rent - loss 
no.","Net rent - loss 
$","Net rent3
no.","Net rent3
$","Other income category 1
no.","Other income category 1
$","Other income category 2
no.","Other income category 2
$","Personal superannuation contributions
no.","Personal superannuation contributions
$","Other deductions
no.","Other deductions
$","Total business income - primary production
no.","Total business income - primary production
$","Total business income non-primary production
no.","Total business income non-primary production
$","Total business income3
no.","Total business income3
$","Total business expenses3
no.","Total business expenses3
$",Net income or loss - primary production no.,Net income or loss - primary production $,Net income or loss from business - primary production no.,Net income or loss from business - primary production $,Net income or loss from business - non-primary production no.,Net income or loss from business - non-primary production $,"Estimated business net tax
no.","Estimated business net tax
$","Australian superannuation income stream tax offset
no.","Australian superannuation income stream tax offset
$","Total net medical expenses tax offset
no.","Total net medical expenses tax offset
$","Low income tax offset
no.","Low income tax offset
$"," People with private health insurance
no. ","Tax withheld from salary or wages
no.","Tax withheld from salary or wages
$"
SA,5422,649,641,"25,954,147",508,"4,116,834",408,"423,916",5,"7,815",447,"4,116,650",5,"14,957",477,"19,139,110",102,"162,806",4,"77,188",4,"16,444",120,"774,502",73,"731,897",7,"43,294",40,"1,318,883",380,"578,628",69,"35,602",118,"177,309",118,"76,027",647,"27,251,635",124,"233,239",44,"60,651",295,"66,779",24,"18,328",276,"195,984",7,"3,233",11,"30,897",6,"8,128",149,"57,016",273,"78,053",473,"1,062,211",25,"422,702",38,"360,211",75,"1,890,609",105,"1,014,184",19,"3,675",3,"62,179",8,"43,337",7,"25,742",24,"199,183",18,"27,142",26,"619,981",34,"218,922",19,"18,883",17,"3,516",17,"2,222",71,"736,145",47,"321,520",28,"22,205",72,"404,088",38,"142,826",35,"-154,494",73,"-11,668",19,"18,105",5,"6,593",14,"262,171",18,"47,732",17,"1,420,404",37,"2,933,193",53,"4,353,597",57,"3,458,438",22,"312,857",36,"561,756",57,"874,613",31,"159,194",40,"109,921",3,"8,425",371,"127,695",264,471,"4,098,157"
SA,5431,525,515,"22,541,754",403,"3,917,368",334,"386,428",6,"5,147",359,"3,887,278",16,"54,150",335,"13,269,819",112,"189,361",9,"146,949",3,"75,004",47,"298,069",46,"507,730",4,"24,697",5,"133,075",371,"880,128",101,"29,837",145,"622,429",145,"266,723",523,"24,438,944",107,"275,750",43,"55,367",228,"60,342",16,"22,887",207,"197,270",2,156,21,"19,276",5,"12,509",137,"51,480",164,"47,414",372,"1,432,039",32,"499,759",36,"336,350",157,"6,144,613",180,"1,173,529",42,"45,325",1,"22,790",8,"80,526",5,"35,582",38,"165,302",31,"38,932",49,"947,801",66,"613,132",42,"43,489",38,"28,872",38,"3,842",61,"635,907",37,"276,144",16,"30,940",62,"333,135",34,"162,370",29,"-166,682",63,"-4,312",33,"131,167",10,"6,925",27,"639,772",25,"49,223",32,"3,411,973",49,"3,346,503",76,"6,758,476",77,"5,620,970",32,"316,653",50,"792,720",77,"1,109,373",40,"221,262",5,"8,198",4,"1,822",281,"87,961",320,321,"2,970,527"
SA,5432,101,99,"4,507,515",81,"800,712",66,"78,927",2,"1,965",70,"768,367",1,"2,337",66,"2,405,445",15,"12,020",1,"5,664",1,"6,382",3,"29,803",3,"36,611",1,"2,712",3,"70,982",79,"223,207",22,"14,655",29,"136,567",29,"58,517",101,"5,124,647",22,"78,426",11,"21,011",43,"14,146",2,"4,124",38,"43,389",1,3,3,"2,902",2,"5,170",35,"12,511",53,"35,980",82,"569,397",6,"95,152",10,"159,323",37,"1,890,877",42,"306,157",7,"31,832",1,"17,872",0,0,0,0,11,"50,468",9,"4,962",15,"524,644",12,"37,183",6,"4,904",6,"4,904",5,354,10,"90,984",3,"31,733",2,"1,900",10,"41,627",8,"29,075",2,"-13,351",10,"15,724",12,"3,950",0,0,11,"323,492",7,"28,243",7,"740,357",9,"349,732",15,"1,090,089",14,"860,481",7,"126,483",9,"103,125",15,"229,608",10,"32,500",3,"6,076",1,486,56,"18,136",69,61,"530,673"
SA,5433,681,675,"35,579,726",541,"7,237,221",461,"637,685",19,"24,282",492,"7,368,359",7,"24,403",538,"29,921,090",109,"107,524",14,"141,949",10,"138,179",57,"345,233",68,"746,737",8,"197,569",20,"533,224",428,"354,870",77,"28,064",143,"834,035",143,"357,404",680,"37,756,230",229,"589,913",49,"87,164",398,"99,711",25,"48,443",408,"360,829",19,"9,523",2,142,9,"27,146",291,"67,865",340,"112,941",539,"1,797,622",44,"777,040",67,"849,455",62,"1,645,110",125,"1,067,505",38,"53,276",7,"255,442",12,"146,134",17,"171,057",35,"313,842",23,"48,309",45,"795,019",41,"695,380",37,"150,478",32,"12,762",28,"1,225",116,"1,192,660",89,"583,082",48,"78,972",120,"721,767",43,"215,839",77,"-407,000",120,"-191,161",46,"80,203",5,"6,163",10,"313,008",39,"80,449",9,"344,029",51,"5,464,006",60,"5,808,035",58,"5,260,260",10,"45,160",51,"378,781",61,"423,941",23,"184,260",18,"58,540",1,639,314,"102,558",366,523,"7,441,242"
SA,5434,234,228,"10,827,462",184,"1,981,210",157,"187,522",5,"3,525",166,"1,948,505",4,"10,574",149,"6,272,818",26,"46,549",3,"38,130",0,0,18,"98,065",17,"172,886",4,"11,496",7,"201,392",157,"344,585",22,"5,277",61,"268,839",61,"115,208",233,"11,888,310",54,"155,066",12,"16,406",103,"26,762",9,"15,546",92,"93,173",3,622,1,"3,515",6,"6,762",70,"19,272",86,"35,356",173,"915,496",6,"99,317",27,"241,190",39,"2,061,357",75,"1,602,734",22,"156,978",2,"20,228",2,596,6,"29,126",9,"42,141",8,"6,949",16,"117,268",21,"505,816",16,"21,539",15,"1,669",15,239,30,"379,067",17,"98,815",10,"14,404",28,"180,030",15,"155,906",16,"-70,088",31,"85,818",12,"3,406",5,"21,245",20,"501,000",14,"42,016",6,"285,588",25,"1,261,771",30,"1,547,359",29,"1,034,637",8,"42,989",26,"469,255",33,"512,244",14,"99,565",6,"14,145",2,152,124,"39,605",129,143,"1,377,844"
SA,5440,149,148,"8,305,783",129,"1,692,717",116,"154,885",0,0,120,"1,726,219",0,0,96,"4,125,258",18,"158,367",1,"7,848",1,"1,125",11,"82,457",5,"64,734",3,"18,228",0,0,103,"255,682",35,"19,711",50,"449,199",50,"192,496",149,"9,261,649",30,"83,804",14,"78,699",71,"25,956",5,"11,048",59,"88,199",3,565,6,211,5,"26,145",38,"10,597",66,"37,649",116,"833,078",1,"17,063",10,"111,203",35,"2,628,022",46,"714,352",18,"139,093",0,0,2,"6,764",1,"6,959",18,"99,816",18,"30,872",20,"226,956",14,"179,293",10,"1,397",12,"1,395",11,261,20,"193,799",17,"89,406",2,"4,062",20,"116,151",4,"18,492",16,"-34,312",20,"-15,820",11,"6,351",3,"6,877",16,"445,308",8,"21,971",7,"1,200,495",14,"615,763",20,"1,816,258",20,"1,139,097",7,"329,741",14,"331,729",20,"661,470",13,"104,676",3,"2,734",0,0,90,"28,989",98,92,"845,491"
SA,5451,419,412,"16,608,595",308,"2,871,380",264,"291,846",0,0,283,"2,971,184",14,"51,852",282,"12,272,276",57,"97,802",3,"52,780",6,"16,195",23,"142,545",32,"399,695",4,"43,309",8,"361,307",260,"316,208",58,"32,932",105,"768,189",105,"329,674",413,"17,908,312",100,"213,074",25,"76,036",188,"51,668",16,"16,103",175,"158,810",10,"6,674",7,"11,428",8,"30,161",113,"146,166",169,"57,142",296,"1,151,866",15,"317,836",30,"251,667",56,"-720,440",101,"2,413,391",36,"307,977",1,"3,259",6,"33,481",14,"138,524",34,"559,164",21,"103,747",38,"3,261,473",35,"479,132",20,"282,925",19,"249,562",17,"31,721",67,"898,106",46,"482,292",21,"40,511",65,"457,171",33,"127,389",34,"-209,257",67,"-81,868",20,"46,559",6,"72,014",16,"298,211",32,"86,393",6,"253,660",40,"2,497,187",46,"2,750,847",48,"2,366,946",7,"3,850",44,"351,541",51,"355,391",21,"51,210",10,"36,447",7,"4,628",224,"73,502",272,271,"2,601,103"
SA,5452,274,271,"12,500,441",226,"2,286,951",194,"222,901",1,"3,410",203,"2,379,807",2,"6,605",205,"9,348,050",43,"75,321",1,"2,017",1,"1,189",15,"65,818",26,"256,853",2,"22,941",7,"210,207",175,"175,587",39,"3,788",79,"382,771",79,"164,018",274,"13,121,524",56,"116,684",20,"48,509",127,"34,828",12,"20,085",110,"105,194",6,723,4,568,5,"1,463",76,"24,534",88,"30,659",196,"571,673",11,"154,535",29,"341,936",51,"337,297",74,"1,470,367",27,"80,805",2,"214,906",4,"45,943",1,"1,891",21,"94,552",13,"11,050",28,"544,889",23,"224,186",17,"11,985",17,"5,484",19,"1,991",34,"450,606",29,"213,561",14,"17,317",34,"264,329",12,"60,196",22,"-104,797",34,"-44,601",11,"19,724",2,"1,439",7,"149,000",13,"39,426",4,"161,037",21,"602,977",25,"764,014",24,"568,815",7,"27,016",21,"157,526",28,"184,542",13,"7,610",4,"15,897",5,"2,683",165,"51,825",173,196,"2,028,508"
SA,5453,"3,013","2,993","152,086,692","2,472","30,152,572","2,121","2,725,562",28,"32,238","2,237","31,072,695",59,"192,444","2,171","104,246,085",448,"1,167,876",23,"233,304",18,"158,609",177,"1,029,620",214,"2,152,949",37,"323,317",69,"2,252,771","1,948","2,867,641",451,"368,103",845,"7,288,195",841,"3,123,212","3,004","160,850,448",726,"1,596,723",205,"448,115","1,478","390,880",104,"193,309","1,355","1,331,426",44,"10,564",44,"237,625",55,"78,201",879,"359,581","1,172","404,716","2,347","7,921,158",158,"2,913,210",278,"2,845,066",342,"9,704,711",739,"17,644,384",234,"1,334,788",9,"356,140",54,"981,739",44,"641,220",207,"1,388,144",151,"322,370",283,"5,683,802",355,"4,018,432",185,"398,064",171,"181,595",161,"57,888",478,"5,862,857",366,"2,886,873",144,"342,036",475,"3,079,776",202,"1,195,679",275,"-1,641,507",481,"-445,828",164,"472,757",36,"187,942",112,"2,389,061",213,"476,146",60,"4,992,942",270,"18,226,719",319,"23,219,661",314,"18,009,688",71,"493,692",273,"4,034,337",330,"4,528,029",182,"1,210,438",76,"209,915",32,"25,377","1,650","529,360","1,911","2,100","23,119,595"
SA,5454,212,207,"8,227,453",164,"1,391,179",137,"142,564",0,0,150,"1,393,794",3,"8,856",129,"4,989,634",34,"45,611",1,"47,559",3,"37,912",22,"149,360",17,"132,412",3,"14,122",1,"39,613",146,"307,147",45,"16,414",59,"411,570",59,"176,372",212,"8,987,846",50,"125,768",7,"17,670",83,"19,930",4,"2,647",76,"87,025",1,17,3,204,3,"2,929",43,"14,390",63,"26,478",144,"681,604",11,"220,156",13,"116,670",64,"2,015,362",70,"1,002,745",26,"36,310",1,"5,946",2,"15,900",3,"14,029",19,"24,397",15,"2,837",24,"145,354",23,"1,292,782",23,"44,157",22,"3,558",22,373,24,"244,461",20,"115,373",5,"17,005",24,"157,284",11,"26,137",13,"-71,338",24,"-45,201",11,"1,111",8,"2,716",19,"347,411",12,"33,887",7,"3,246,643",19,"727,091",25,"3,973,734",23,"3,958,486",7,"-44,425",19,"55,904",25,"11,479",10,"51,748",2,"1,661",3,"8,622",129,"42,767",141,127,"1,041,364"
SA,5460,381,374,"18,194,297",302,"3,534,036",256,"321,118",6,"9,341",276,"3,576,679",5,"12,126",262,"11,081,184",58,"57,124",2,"8,312",3,"2,439",32,"170,485",28,"286,653",6,"36,489",7,"140,447",215,"360,900",56,"24,159",92,"219,496",91,"94,053",375,"19,705,641",82,"197,138",12,"89,464",173,"45,322",13,"30,886",156,"167,134",7,"1,676",4,284,3,"7,138",134,"33,975",161,"36,955",288,"1,442,850",8,"204,925",24,"226,890",84,"5,445,922",83,"1,714,906",26,"318,645",0,0,3,"50,646",7,"65,494",24,"138,169",14,"21,737",43,"2,096,262",40,"188,783",24,"25,472",19,"4,638",20,688,46,"520,478",25,"206,381",13,"12,483",45,"283,184",30,"166,353",19,"-147,923",49,"18,430",25,"53,646",2,"17,903",33,"811,869",12,"19,962",7,"1,284,318",28,"1,432,613",34,"2,716,931",31,"1,794,016",7,"651,131",30,"245,880",36,"897,011",15,"190,613",8,"10,681",2,504,195,"64,244",188,249,"2,286,090"
SA,5461,"1,337","1,319","63,280,075","1,085","11,809,861",906,"1,106,460",16,"35,221",965,"11,970,858",23,"63,677",948,"40,915,045",200,"515,445",10,"98,121",10,"34,054",116,"703,917",103,"1,026,513",10,"76,706",31,"747,827",784,"1,420,700",263,"66,202",380,"1,506,042",381,"645,452","1,331","68,125,923",352,"682,515",73,"389,378",703,"177,288",49,"106,852",684,"527,425",14,"3,926",55,"46,721",43,"117,278",703,"265,514",540,"121,127","1,089","4,413,810",50,"1,021,473",108,"844,841",171,"10,746,583",378,"7,599,552",149,"721,061",4,"14,306",9,"105,502",13,"46,075",109,"519,636",74,"98,172",146,"1,696,782",156,"2,438,457",114,"92,390",106,"51,686",101,"4,744",191,"2,141,681",156,"1,208,957",70,"134,288",192,"1,207,664",58,"248,688",135,"-657,916",194,"-409,228",66,"118,599",15,"80,266",83,"1,826,252",86,"147,727",16,"1,411,733",107,"10,286,131",122,"11,697,864",118,"8,844,395",17,"286,742",104,"2,490,960",119,"2,777,702",66,"564,792",24,"56,336",13,"7,789",738,"234,554",813,914,"8,557,030"
SA,5462,304,300,"15,330,387",255,"2,890,204",221,"274,128",1,"1,108",240,"2,885,909",7,"15,848",222,"8,870,612",60,"165,773",1,"4,716",2,"4,320",27,"144,328",12,"162,289",2,"13,202",0,0,185,"210,045",34,"3,956",72,"199,503",72,"85,479",303,"16,642,787",77,"158,446",23,"147,715",158,"41,185",3,"4,923",127,"106,517",2,34,10,"9,662",3,"2,343",89,"41,384",94,"29,627",235,"1,243,021",14,"328,859",19,"138,310",51,"3,909,322",87,"2,272,709",36,"292,650",1,"1,650",2,68,5,"18,362",23,"71,803",21,"14,495",29,"222,028",20,"129,552",20,"24,340",19,"23,347",22,"2,004",30,"362,207",26,"231,289",12,"16,849",30,"213,919",6,"30,611",24,"-130,461",30,"-99,850",11,"19,062",11,"32,255",33,"631,073",34,"70,112",7,"1,669,719",28,"2,478,384",34,"4,148,103",33,"2,895,445",7,"419,743",27,"817,176",33,"1,236,919",20,"233,259",2,"1,979",3,"4,111",181,"60,450",191,209,"1,760,777"
SA,5464,276,269,"13,878,850",229,"2,670,964",192,"249,147",2,"2,254",201,"2,563,294",6,"22,674",178,"7,281,434",39,"51,817",4,"14,738",1,"1,121",19,"111,473",16,"167,739",5,"40,343",3,"5,125",178,"446,342",68,"15,336",95,"222,933",95,"95,515",275,"15,019,266",57,"139,101",14,"68,903",131,"37,613",7,"8,640",98,"92,617",5,"1,916",4,"2,489",6,"12,472",64,"18,855",81,"18,093",215,"984,569",14,"283,542",18,"126,002",91,"5,149,041",100,"1,274,463",27,"7,298",0,0,2,"43,461",6,"41,551",12,"190,869",12,"42,288",22,"413,956",44,"199,528",22,"263,146",19,"8,223",14,"71,777",43,"438,030",37,"333,524",11,"21,331",45,"287,735",13,"24,460",32,"-229,020",45,"-204,560",23,"66,884",3,"9,760",30,"558,064",20,"25,806",12,"2,259,964",22,"1,109,445",32,"3,365,569",27,"1,869,048",12,"1,099,697",22,"399,969",33,"1,499,666",20,"235,365",4,"5,825",5,"5,411",146,"45,920",200,168,"1,489,163"
SA,5470,77,74,"3,850,905",56,"827,652",45,"68,305",2,"4,326",47,"829,718",1,"3,892",42,"1,855,552",11,"51,822",0,0,1,"4,583",5,"54,005",4,"60,556",3,"16,495",4,"108,089",55,"155,484",17,"3,680",28,"113,968",28,"48,837",77,"4,020,346",6,"9,278",4,"34,852",29,"6,447",0,0,21,"17,031",2,479,3,29,1,"12,315",16,"9,493",20,"5,681",46,"103,636",1,"10,178",6,"41,851",22,"1,243,429",28,"165,038",5,"1,809",1,"17,178",0,0,2,"3,540",4,"39,815",2,"9,153",4,"81,316",16,"67,480",7,"8,885",7,"8,885",4,508,10,"101,154",6,"36,422",2,"1,574",10,"41,159",4,"30,849",6,"-8,850",10,"21,999",1,6,0,0,0,0,3,"8,031",2,"21,191",5,"104,748",5,"125,939",5,"72,090",2,"16,053",5,"37,796",5,"53,849",4,"12,803",4,"8,946",2,"2,867",31,"10,283",51,38,"432,844"
SA,5471,70,68,"2,847,437",52,"550,640",44,"52,542",2,"3,067",47,"544,123",1,"3,314",38,"1,065,508",9,"7,106",1,"18,815",0,0,7,"44,828",5,"55,895",0,0,2,"43,500",47,"89,393",21,"8,446",34,"216,729",34,"92,874",70,"3,078,211",8,"16,894",3,"3,331",20,"3,365",2,"5,215",14,"7,476",4,739,0,0,0,0,7,"3,263",19,"5,565",39,"136,538",4,"42,035",10,"165,755",31,"859,335",29,"314,998",7,"5,964",0,0,0,0,0,0,4,"6,639",4,"1,506",8,"229,625",12,"52,174",5,464,5,464,4,113,16,"235,102",14,"128,781",2,"1,528",16,"113,578",7,"43,702",9,"-52,487",16,"-8,785",5,143,1,"5,527",4,"87,000",4,"3,690",2,"787,988",6,"88,209",8,"876,197",8,"512,658",2,"322,118",6,"41,361",8,"363,479",6,"104,657",0,0,0,0,35,"11,942",47,32,"235,708"
SA,5472,79,76,"2,560,030",53,"376,539",42,"40,761",0,0,48,"369,146",1,"2,260",46,"1,463,912",11,"9,386",2,"3,887",0,0,18,"107,537",6,"69,501",2,"46,610",1,"55,928",48,"92,718",19,"3,960",25,"66,038",25,"28,298",77,"2,930,138",11,"29,694",5,"11,467",29,"6,837",3,"10,693",32,"25,089",0,0,2,458,1,"4,551",21,"10,177",29,"12,673",59,"307,930",4,"57,093",3,"12,259",19,"729,037",32,"243,614",8,"32,946",0,0,1,"1,413",2,"7,909",8,"71,784",6,"11,237",9,"205,793",3,"24,934",4,"1,287",4,"1,287",3,122,6,"68,275",4,"21,365",0,0,6,"34,279",4,"24,849",2,"-12,218",6,"12,631",5,"25,029",0,0,8,"182,100",6,"14,191",4,"993,703",5,"179,947",9,"1,173,650",9,"1,066,666",4,"135,748",5,"-28,764",9,"106,984",3,"10,143",3,"12,583",1,172,39,"14,553",44,44,"270,527"
SA,5473,357,350,"17,452,144",276,"3,447,973",235,"305,629",5,"6,024",253,"3,496,868",7,"24,863",271,"12,442,033",56,"67,496",3,"69,350",7,"85,315",39,"267,239",27,"287,488",2,"20,333",10,"202,555",212,"431,210",61,"22,024",78,"181,695",78,"77,851",355,"18,584,694",94,"177,689",34,"79,403",190,"44,390",8,"14,318",163,"148,189",5,"1,326",5,"1,062",4,"11,287",81,"24,659",155,"39,791",264,"923,703",18,"361,993",21,"127,872",40,"3,047,043",72,"1,093,825",31,"12,705",2,"2,509",7,"229,822",4,"78,256",19,"190,454",16,"44,918",29,"1,164,142",29,"283,964",21,"19,766",20,"15,861",16,"1,438",44,"339,913",36,"242,577",14,"22,483",44,"192,682",12,"25,788",34,"-143,617",46,"-117,829",6,"4,392",1,"3,573",15,"353,669",13,"27,920",14,"1,801,982",22,"605,167",33,"2,407,149",34,"1,834,058",14,"435,973",22,"135,022",33,"570,995",14,"106,369",8,"16,548",1,529,174,"56,222",154,267,"2,867,981"
SA,5480,484,474,"22,828,736",366,"4,479,400",315,"402,951",2,"1,922",330,"4,477,084",8,"27,020",336,"16,030,859",84,"150,730",11,"126,797",6,"98,254",36,"234,406",47,"381,807",4,"49,673",10,"195,347",316,"368,873",91,"14,809",136,"657,054",136,"281,558",482,"24,506,734",126,"304,506",47,"70,018",221,"55,227",12,"14,663",212,"230,858",8,"5,145",9,"2,085",7,"6,936",121,"25,407",176,"51,369",353,"1,226,261",30,"619,382",45,"438,716",87,"2,804,261",123,"1,301,470",39,"81,581",4,"12,730",3,"532,472",13,"399,062",36,"239,717",23,"29,150",47,"657,052",40,"1,043,468",33,"565,382",30,"11,430",25,"148,031",73,"827,996",51,"417,366",19,"24,836",74,"505,627",26,"135,079",48,"-254,912",74,"-119,833",14,"24,683",9,"1,716",17,"388,239",29,"71,668",11,"993,054",38,"2,494,146",46,"3,487,200",45,"2,456,158",11,"-388,800",39,"891,576",47,"502,776",18,"172,715",6,"15,975",5,"2,043",237,"76,714",263,325,"3,587,267"
SA,5481,320,314,"11,466,282",222,"1,838,613",179,"187,997",0,0,191,"1,790,257",3,"11,463",199,"7,999,902",39,"73,733",3,"3,954",2,"7,201",24,"137,527",33,"391,693",5,"31,092",7,"176,800",222,"296,195",69,"44,317",100,"144,486",100,"61,884",317,"12,086,348",66,"108,913",13,"16,766",129,"36,133",3,702,120,"106,631",7,"1,702",2,"3,700",0,0,84,"26,462",111,"30,790",214,"511,871",19,"340,370",18,"259,815",81,"807,296",108,"1,020,923",29,"11,140",3,"49,623",4,"39,334",4,"19,764",16,"142,838",10,"29,397",19,"406,902",41,"231,963",21,"13,271",21,"13,271",21,"2,641",46,"619,610",18,"140,519",10,"65,463",43,"341,630",30,"149,530",18,"-77,532",48,"71,998",19,"12,405",6,"2,341",12,"171,164",8,"8,908",16,"3,027,163",17,"834,757",29,"3,861,920",28,"3,323,801",16,"346,759",17,"192,717",29,"539,476",14,"83,259",6,"14,804",3,"2,980",163,"52,379",165,188,"1,741,968"
SA,5482,321,310,"13,894,255",246,"2,615,693",197,"245,687",6,"9,599",214,"2,650,279",5,"12,731",200,"8,516,644",40,"38,399",1,"33,866",0,0,21,"167,476",22,"232,492",1,"16,800",2,"61,274",228,"490,675",76,"16,359",109,"208,260",108,"88,411",320,"15,090,604",63,"159,226",17,"13,518",123,"30,348",6,"4,446",115,"143,535",3,"3,593",5,"1,735",6,"9,265",62,"38,622",95,"31,780",217,"753,252",20,"338,582",20,"230,038",116,"2,809,350",133,"1,685,313",39,"138,983",1,"12,689",3,"61,674",8,"56,076",24,"263,142",16,"18,996",34,"848,066",39,"496,618",27,"7,397",26,"4,927",25,"1,021",35,"430,689",24,"183,352",17,"54,883",33,"245,744",17,"127,105",19,"-180,395",36,"-53,290",20,"175,478",7,"8,440",14,"258,852",32,"58,332",12,"919,649",24,"1,642,375",34,"2,562,024",31,"1,567,847",12,"191,121",26,"802,124",36,"993,245",19,"218,377",3,"6,496",1,70,162,"52,405",198,191,"1,918,657"
SA,5483,193,192,"8,494,028",151,"1,584,039",121,"148,717",1,931,128,"1,648,338",3,"13,708",129,"5,699,336",23,"14,407",2,"2,092",0,0,10,"71,371",15,"180,868",1,"15,197",1,"19,554",143,"300,223",37,"13,723",58,"366,387",57,"156,852",193,"9,302,756",44,"96,558",6,"5,925",80,"19,430",6,"6,068",79,"72,534",3,369,2,889,2,120,59,"12,203",62,"31,605",139,"634,218",7,"121,786",15,"117,584",57,"1,175,703",66,"1,289,960",11,"1,434",1,"6,200",0,0,1,"7,100",10,"120,793",5,"4,093",11,"212,783",22,"165,618",7,"12,139",5,667,5,97,25,"295,812",20,"153,160",12,"14,698",26,"162,997",11,"62,607",16,"-97,650",27,"-35,043",9,"45,999",1,"16,398",13,"352,417",14,"33,397",7,"406,195",14,"261,240",20,"667,435",18,"612,691",7,"-30,865",15,"78,497",20,"47,632",11,"19,339",1,"2,280",0,0,98,"32,470",137,120,"1,402,583"
SA,5485,327,326,"16,743,199",260,"3,302,448",227,"301,909",10,"13,932",234,"3,348,645",7,"22,748",239,"12,199,250",61,"150,171",5,"58,087",6,"84,978",20,"103,515",23,"286,583",1,"15,905",9,"364,691",223,"236,319",42,"17,767",79,"310,764",79,"132,175",327,"17,702,236",98,"244,607",18,"44,809",171,"48,563",9,"20,213",168,"162,956",2,600,8,"1,242",4,"4,883",114,"30,376",136,"40,015",248,"938,731",17,"273,685",32,"392,294",58,"1,903,431",80,"1,212,204",20,"7,954",2,"52,499",7,"77,978",6,"73,740",19,"210,745",16,"38,471",21,"465,306",23,"149,655",18,"16,115",17,"8,100",18,"1,559",36,"317,177",27,"97,564",11,"10,229",36,"203,285",17,"74,334",19,"-68,235",36,"6,099",22,"11,585",3,"12,230",12,"207,533",26,"131,284",12,"1,071,502",21,"1,220,626",33,"2,292,128",34,"1,629,933",12,"346,496",22,"237,776",34,"584,272",18,"136,170",9,"33,537",3,"2,240",161,"48,468",164,234,"3,008,408"
SA,5490,76,73,"3,412,169",59,"698,392",54,"68,127",2,"1,923",56,"688,458",1,"5,349",47,"1,944,962",11,"18,778",1,"9,167",1,"1,849",3,"14,407",2,"32,063",0,0,1,"22,942",57,"82,060",24,"13,607",27,"93,322",27,"40,005",75,"3,683,384",14,"34,364",4,"2,626",24,"4,553",2,807,29,"21,851",0,0,0,0,1,"3,427",19,"5,381",10,"2,867",54,"213,881",2,"59,750",5,"37,885",23,"897,531",27,"110,926",10,"1,501",0,0,0,0,0,0,8,"32,804",7,"5,713",11,"90,869",10,"55,226",9,"1,434",9,"1,434",9,161,9,"101,376",6,"46,182",1,"5,207",9,"53,948",3,"10,489",6,"-14,450",9,"-3,961",4,"19,588",1,98,5,"125,004",5,"13,001",3,"376,834",4,"184,891",6,"561,725",6,"247,067",3,"207,232",4,"107,426",6,"314,658",4,"28,094",1,682,0,0,34,"11,240",54,42,"397,404"
